one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
a,n,t,ʃ,a,ː,r,a,ː,,,,,,,,,,,,,,,,,,,
x,r,i,ː,f,,,,,,,,,,,,,,,,,,,,,,,
a,ٓ,l,a,ː,m,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,b,r,,,,,,,,,,,,,,,,,,,,,,,
a,l,d,i,ː,u,ː,n,,,,,,,,,,,,,,,,,,,,
s,a,ː,k,n,,,,,,,,,,,,,,,,,,,,,,,
m,l,ħ,,,,,,,,,,,,,,,,,,,,,,,,,
m,d,͡,ʒ,h,u,ː,l,,,,,,,,,,,,,,,,,,,,
m,h,a,ː,d,͡,ʒ,m,ة,,,,,,,,,,,,,,,,,,,
t,d,m,r,,,,,,,,,,,,,,,,,,,,,,,,
a,l,k,u,ː,a,ː,r,θ,,,,,,,,,,,,,,,,,,,
θ,ʕ,l,b,ة,,,,,,,,,,,,,,,,,,,,,,,
b,r,i,ː,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,r,q,i,ː,ة,,,,,,,,,,,,,,,,,,,,,,
a,l,a,ː,n,t,q,a,ː,d,a,ː,t,,,,,,,,,,,,,,,
a,l,s,ˤ,d,m,ة,,,,,,,,,,,,,,,,,,,,,
a,l,t,r,a,ː,d,͡,ʒ,ʕ,,,,,,,,,,,,,,,,,,
ʕ,d,͡,ʒ,z,,,,,,,,,,,,,,,,,,,,,,,
a,l,d,ˤ,ʕ,i,ː,f,ة,,,,,,,,,,,,,,,,,,,
q,m,ʕ,,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,i,ː,u,ː,b,,,,,,,,,,,,,,,,,,,,,,
t,h,d,i,ː,d,,,,,,,,,,,,,,,,,,,,,,
a,l,x,n,a,ː,z,i,ː,r,,,,,,,,,,,,,,,,,,
f,a,l,s,e,,,,,,,,,,,,,,,,,,,,,,,
a,l,q,a,ː,t,l,,,,,,,,,,,,,,,,,,,,,
ɣ,a,ː,m,d,ˤ,ة,,,,,,,,,,,,,,,,,,,,,
t,ħ,d,,,,,,,,,,,,,,,,,,,,,,,,,
m,ʕ,a,ː,n,a,ː,ة,,,,,,,,,,,,,,,,,,,,
d,m,r,,,,,,,,,,,,,,,,,,,,,,,,,
t,n,a,ː,f,s,,,,,,,,,,,,,,,,,,,,,,
t,f,t,q,r,,,,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,i,ː,u,ː,b,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,ː,f,a,ː,t,,,,,,,,,,,,,,,,,,,
a,n,x,f,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
t,ħ,l,l,,,,,,,,,,,,,,,,,,,,,,,,
n,f,i,ː,,,,,,,,,,,,,,,,,,,,,,,,
s,r,q,ة,,,,,,,,,,,,,,,,,,,,,,,,
t,r,f,d,ˤ,,,,,,,,,,,,,,,,,,,,,,,
x,l,ʕ,,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,d,u,ː,ى,,,,,,,,,,,,,,,,,,,,,,,
n,a,ː,d,r,a,ː,,,,,,,,,,,,,,,,,,,,,
m,d,͡,ʒ,z,r,ة,,,,,,,,,,,,,,,,,,,,,
ħ,ʃ,d,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,ħ,z,n,,,,,,,,,,,,,,,,,,,,,,,
b,a,ː,l,,,,,,,,,,,,,,,,,,,,,,,,
a,ʕ,t,r,a,ː,f,,,,,,,,,,,,,,,,,,,,,
f,r,,,,,,,,,,,,,,,,,,,,,,,,,,
m,x,a,ː,l,f,ة,,,,,,,,,,,,,,,,,,,,,
ɣ,z,a,ː,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,a,ː,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
a,l,r,q,i,ː,q,,,,,,,,,,,,,,,,,,,,,
m,b,a,ː,l,ɣ,,,,,,,,,,,,,,,,,,,,,,
t,l,f,,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,d,u,ː,,,,,,,,,,,,,,,,,,,,,,,,
a,d,ʕ,ى,,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,d,ˤ,r,a,ː,r,,,,,,,,,,,,,,,,,,,,
t,ˤ,a,ː,l,b,a,ː,n,,,,,,,,,,,,,,,,,,,
b,q,ʕ,ة,,,,,,,,,,,,,,,,,,,,,,,,
t,s,r,b,,,,,,,,,,,,,,,,,,,,,,,,
m,ð,b,ħ,ة,,,,,,,,,,,,,,,,,,,,,,,
a,l,t,h,d,i,ː,d,,,,,,,,,,,,,,,,,,,,
