one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
u,v,a,m,i,z,i,,,,,,,,,,,,,,,,,,,,,
u,l,e,v,i,,,,,,,,,,,,,,,,,,,,,,,
m,t,͡,ʃ,e,k,e,ʃ,a,ʄ,i,,,,,,,,,,,,,,,,,
u,f,u,k,a,ɾ,a,,,,,,,,,,,,,,,,,,,,,
s,a,ɗ,a,k,a,,,,,,,,,,,,,,,,,,,,,,
n,a,ɗ,ɾ,a,,,,,,,,,,,,,,,,,,,,,,,
h,o,f,u,,,,,,,,,,,,,,,,,,,,,,,,
v,i,m,e,l,e,a,,,,,,,,,,,,,,,,,,,,,
u,t,a,t,a,,,,,,,,,,,,,,,,,,,,,,,
h,a,s,i,,,,,,,,,,,,,,,,,,,,,,,,
m,i,f,u,p,a,,,,,,,,,,,,,,,,,,,,,,
m,a,ʄ,e,ɾ,a,h,a,,,,,,,,,,,,,,,,,,,,
n,ɟ,a,a,,,,,,,,,,,,,,,,,,,,,,,,
s,t,a,ɾ,,,,,,,,,,,,,,,,,,,,,,,,
m,a,s,w,a,l,a,,,,,,,,,,,,,,,,,,,,,
m,a,p,a,m,b,a,n,o,,,,,,,,,,,,,,,,,,,
m,a,a,ɗ,u,i,,,,,,,,,,,,,,,,,,,,,,
a,l,i,k,u,f,a,,,,,,,,,,,,,,,,,,,,,
u,t,u,m,w,a,,,,,,,,,,,,,,,,,,,,,,
ð,u,l,u,m,a,,,,,,,,,,,,,,,,,,,,,,
ʃ,a,k,a,,,,,,,,,,,,,,,,,,,,,,,,
ɲ,e,m,b,a,m,b,a,,,,,,,,,,,,,,,,,,,,
u,a,s,i,,,,,,,,,,,,,,,,,,,,,,,,
k,u,p,i,n,ɡ,a,,,,,,,,,,,,,,,,,,,,,
m,i,a,m,b,a,,,,,,,,,,,,,,,,,,,,,,
v,i,k,w,a,z,o,,,,,,,,,,,,,,,,,,,,,
u,ʃ,a,w,i,ʃ,i,,,,,,,,,,,,,,,,,,,,,
t,a,m,θ,i,l,i,j,a,,,,,,,,,,,,,,,,,,,
m,a,ʃ,a,m,b,u,l,i,z,i,,,,,,,,,,,,,,,,,
k,u,v,u,n,ɟ,a,,,,,,,,,,,,,,,,,,,,,
k,u,u,a,w,a,,,,,,,,,,,,,,,,,,,,,,
i,n,a,e,n,d,e,l,e,a,,,,,,,,,,,,,,,,,,
s,w,a,l,a,,,,,,,,,,,,,,,,,,,,,,,
k,u,k,a,t,a,a,,,,,,,,,,,,,,,,,,,,,
h,a,i,ʄ,u,l,i,k,a,n,i,,,,,,,,,,,,,,,,,
a,k,i,f,a,ɲ,a,,,,,,,,,,,,,,,,,,,,,
k,u,h,a,ɾ,i,ɓ,u,,,,,,,,,,,,,,,,,,,,
a,ɗ,u,i,,,,,,,,,,,,,,,,,,,,,,,,
m,a,a,n,d,a,m,a,n,o,,,,,,,,,,,,,,,,,,
k,u,k,a,ɓ,i,l,i,a,n,a,,,,,,,,,,,,,,,,,
k,a,s,o,ɾ,o,,,,,,,,,,,,,,,,,,,,,,
u,ɠ,u,m,u,,,,,,,,,,,,,,,,,,,,,,,
u,h,a,ɓ,a,,,,,,,,,,,,,,,,,,,,,,,
k,u,p,o,t,e,a,,,,,,,,,,,,,,,,,,,,,
h,a,s,a,ɾ,a,,,,,,,,,,,,,,,,,,,,,,
h,u,k,u,m,u,,,,,,,,,,,,,,,,,,,,,,
ʃ,i,n,a,,,,,,,,,,,,,,,,,,,,,,,,
z,i,p,o,,,,,,,,,,,,,,,,,,,,,,,,
n,d,o,t,o,,,,,,,,,,,,,,,,,,,,,,,
k,u,a,n,ɡ,u,k,a,,,,,,,,,,,,,,,,,,,,
m,ɠ,o,ɠ,o,ɾ,o,,,,,,,,,,,,,,,,,,,,,
k,u,ʃ,a,m,b,u,l,i,a,,,,,,,,,,,,,,,,,,
h,a,w,a,w,e,z,i,,,,,,,,,,,,,,,,,,,,
k,u,ʄ,i,u,z,u,l,u,,,,,,,,,,,,,,,,,,,
f,u,ʄ,o,,,,,,,,,,,,,,,,,,,,,,,,
v,i,ɗ,o,n,d,a,,,,,,,,,,,,,,,,,,,,,
k,u,a,m,b,u,k,i,z,w,a,,,,,,,,,,,,,,,,,
ʄ,e,ɾ,a,h,a,,,,,,,,,,,,,,,,,,,,,,
a,l,i,k,a,t,a,a,,,,,,,,,,,,,,,,,,,,
u,k,a,m,e,,,,,,,,,,,,,,,,,,,,,,,
m,a,t,a,t,i,z,o,,,,,,,,,,,,,,,,,,,,
h,a,ɾ,a,m,u,,,,,,,,,,,,,,,,,,,,,,
u,k,a,l,i,,,,,,,,,,,,,,,,,,,,,,,
m,z,i,ɠ,o,,,,,,,,,,,,,,,,,,,,,,,
ɲ,o,k,a,,,,,,,,,,,,,,,,,,,,,,,,
k,u,s,i,m,a,m,a,,,,,,,,,,,,,,,,,,,,
h,a,s,i,ɾ,a,,,,,,,,,,,,,,,,,,,,,,
ɗ,u,k,a,,,,,,,,,,,,,,,,,,,,,,,,
w,a,h,u,ɗ,u,m,u,,,,,,,,,,,,,,,,,,,,
u,ð,a,i,f,u,,,,,,,,,,,,,,,,,,,,,,
m,i,ɠ,o,ɠ,o,ɾ,o,,,,,,,,,,,,,,,,,,,,
m,a,ʃ,t,a,k,a,,,,,,,,,,,,,,,,,,,,,
l,i,p,o,,,,,,,,,,,,,,,,,,,,,,,,
ɠ,i,z,a,,,,,,,,,,,,,,,,,,,,,,,,
v,u,ɾ,u,ɠ,u,,,,,,,,,,,,,,,,,,,,,,
u,h,a,l,i,f,u,,,,,,,,,,,,,,,,,,,,,
ð,a,i,f,u,,,,,,,,,,,,,,,,,,,,,,,
k,u,t,i,ʃ,a,,,,,,,,,,,,,,,,,,,,,,
u,t,͡,ʃ,u,n,ɡ,u,,,,,,,,,,,,,,,,,,,,
k,u,ʃ,i,n,d,a,n,a,,,,,,,,,,,,,,,,,,,
ɣ,a,l,i,,,,,,,,,,,,,,,,,,,,,,,,
u,p,o,f,u,,,,,,,,,,,,,,,,,,,,,,,
u,o,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,,,
k,u,ʃ,u,k,a,,,,,,,,,,,,,,,,,,,,,,
ɓ,i,l,a,,,,,,,,,,,,,,,,,,,,,,,,
m,a,k,u,ɓ,a,l,i,a,n,o,,,,,,,,,,,,,,,,,
h,u,z,u,n,i,,,,,,,,,,,,,,,,,,,,,,
h,a,t,i,a,,,,,,,,,,,,,,,,,,,,,,,
t,u,n,d,u,,,,,,,,,,,,,,,,,,,,,,,
m,a,u,t,i,,,,,,,,,,,,,,,,,,,,,,,
m,a,ʃ,i,m,o,,,,,,,,,,,,,,,,,,,,,,
k,u,m,f,a,ɲ,a,,,,,,,,,,,,,,,,,,,,,
m,z,i,o,,,,,,,,,,,,,,,,,,,,,,,,
m,a,p,o,ɾ,o,m,o,k,o,,,,,,,,,,,,,,,,,,
k,u,z,i,ɗ,i,,,,,,,,,,,,,,,,,,,,,,
m,p,i,n,z,a,n,i,,,,,,,,,,,,,,,,,,,,
ɣ,a,s,i,a,,,,,,,,,,,,,,,,,,,,,,,
m,a,t,o,p,e,,,,,,,,,,,,,,,,,,,,,,
j,a,ɓ,i,s,i,,,,,,,,,,,,,,,,,,,,,,
k,u,h,a,ɾ,i,ɓ,i,k,a,,,,,,,,,,,,,,,,,,
t,͡,ʃ,a,n,ɡ,a,m,o,t,o,,,,,,,,,,,,,,,,,
k,u,f,u,t,a,,,,,,,,,,,,,,,,,,,,,,
u,ɗ,i,k,t,e,t,a,,,,,,,,,,,,,,,,,,,,
t,a,t,a,,,,,,,,,,,,,,,,,,,,,,,,
m,w,i,t,u,,,,,,,,,,,,,,,,,,,,,,,
k,u,i,n,ɡ,i,l,i,a,,,,,,,,,,,,,,,,,,,
k,i,a,n,ɡ,a,z,i,,,,,,,,,,,,,,,,,,,,
u,z,u,ʃ,i,,,,,,,,,,,,,,,,,,,,,,,
ɾ,u,ʃ,w,a,,,,,,,,,,,,,,,,,,,,,,,
m,a,p,u,m,z,i,k,o,,,,,,,,,,,,,,,,,,,
h,a,t,a,ɾ,i,n,i,,,,,,,,,,,,,,,,,,,,
ð,a,ɾ,u,ɾ,a,,,,,,,,,,,,,,,,,,,,,,
h,u,a,θ,i,ɾ,i,,,,,,,,,,,,,,,,,,,,,
ɓ,i,ɓ,i,,,,,,,,,,,,,,,,,,,,,,,,
u,t,a,n,i,,,,,,,,,,,,,,,,,,,,,,,
ɓ,a,n,d,i,a,,,,,,,,,,,,,,,,,,,,,,
m,ɠ,a,w,a,ɲ,i,k,o,,,,,,,,,,,,,,,,,,,
k,u,ʄ,i,u,a,,,,,,,,,,,,,,,,,,,,,,
u,ɠ,o,m,v,i,,,,,,,,,,,,,,,,,,,,,,
m,k,a,z,o,,,,,,,,,,,,,,,,,,,,,,,
k,i,s,a,s,i,,,,,,,,,,,,,,,,,,,,,,
ɓ,a,ɾ,a,ɓ,a,ɾ,a,n,i,,,,,,,,,,,,,,,,,,
k,u,k,o,m,e,ʃ,a,,,,,,,,,,,,,,,,,,,,
k,u,a,m,b,u,k,i,z,a,,,,,,,,,,,,,,,,,,
ʃ,a,m,b,u,l,i,o,,,,,,,,,,,,,,,,,,,,
h,a,f,i,f,u,,,,,,,,,,,,,,,,,,,,,,
ɓ,o,m,u,,,,,,,,,,,,,,,,,,,,,,,,
p,ɾ,o,ɓ,l,e,m,,,,,,,,,,,,,,,,,,,,,
k,i,z,u,i,z,i,,,,,,,,,,,,,,,,,,,,,
v,i,z,u,i,z,i,,,,,,,,,,,,,,,,,,,,,
u,h,a,m,i,ʃ,o,n,i,,,,,,,,,,,,,,,,,,,
t,a,k,a,,,,,,,,,,,,,,,,,,,,,,,,
l,i,s,i,l,o,,,,,,,,,,,,,,,,,,,,,,
k,u,t,͡,ʃ,o,m,a,,,,,,,,,,,,,,,,,,,,
ð,o,ɾ,u,ɓ,a,,,,,,,,,,,,,,,,,,,,,,
m,ʃ,t,u,k,o,,,,,,,,,,,,,,,,,,,,,,
l,a,m,i,,,,,,,,,,,,,,,,,,,,,,,,
k,u,v,i,m,b,a,,,,,,,,,,,,,,,,,,,,,
u,s,i,n,ɡ,i,z,i,,,,,,,,,,,,,,,,,,,,
t,e,t,e,,,,,,,,,,,,,,,,,,,,,,,,
k,u,z,a,m,a,,,,,,,,,,,,,,,,,,,,,,
w,a,m,i,l,i,k,i,,,,,,,,,,,,,,,,,,,,
v,u,m,b,i,,,,,,,,,,,,,,,,,,,,,,,
u,a,,,,,,,,,,,,,,,,,,,,,,,,,,
t,i,ʃ,i,o,,,,,,,,,,,,,,,,,,,,,,,
k,u,p,o,ɾ,o,m,o,k,a,,,,,,,,,,,,,,,,,,
k,u,m,u,u,a,,,,,,,,,,,,,,,,,,,,,,
k,a,ʃ,f,a,,,,,,,,,,,,,,,,,,,,,,,
t,͡,ʃ,u,n,ɡ,u,,,,,,,,,,,,,,,,,,,,,
w,a,n,a,ɗ,a,i,,,,,,,,,,,,,,,,,,,,,
w,a,a,s,i,,,,,,,,,,,,,,,,,,,,,,,
v,i,p,o,f,u,,,,,,,,,,,,,,,,,,,,,,
u,f,a,,,,,,,,,,,,,,,,,,,,,,,,,
n,ɟ,a,m,a,,,,,,,,,,,,,,,,,,,,,,,
m,a,ɓ,i,ʃ,a,n,o,,,,,,,,,,,,,,,,,,,,
k,i,f,u,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,
h,a,i,w,e,z,e,k,a,n,i,,,,,,,,,,,,,,,,,
u,ɗ,a,n,ɡ,a,ɲ,i,f,u,,,,,,,,,,,,,,,,,,
n,ɡ,u,ɾ,u,w,e,,,,,,,,,,,,,,,,,,,,,
k,u,p,i,n,d,u,k,i,a,,,,,,,,,,,,,,,,,,
u,f,i,s,a,ɗ,i,,,,,,,,,,,,,,,,,,,,,
m,a,ɗ,e,n,i,,,,,,,,,,,,,,,,,,,,,,
k,u,f,a,ɾ,i,k,i,,,,,,,,,,,,,,,,,,,,
k,e,l,e,l,e,,,,,,,,,,,,,,,,,,,,,,
ɗ,i,k,t,e,t,a,,,,,,,,,,,,,,,,,,,,,
ð,i,k,i,,,,,,,,,,,,,,,,,,,,,,,,
k,u,v,u,n,ɟ,i,k,a,,,,,,,,,,,,,,,,,,,
a,i,ɓ,u,,,,,,,,,,,,,,,,,,,,,,,,
k,u,ɠ,e,u,z,a,,,,,,,,,,,,,,,,,,,,,
u,t,͡,ʃ,a,f,u,,,,,,,,,,,,,,,,,,,,,
m,ɠ,e,n,i,,,,,,,,,,,,,,,,,,,,,,,
m,a,z,i,t,o,,,,,,,,,,,,,,,,,,,,,,
m,a,ð,u,ɓ,u,t,i,,,,,,,,,,,,,,,,,,,,
ɠ,u,m,u,,,,,,,,,,,,,,,,,,,,,,,,
ɠ,e,ɾ,e,z,a,,,,,,,,,,,,,,,,,,,,,,
m,s,o,n,ɡ,a,m,a,n,o,,,,,,,,,,,,,,,,,,
m,a,w,i,n,ɡ,u,,,,,,,,,,,,,,,,,,,,,
m,a,o,v,u,,,,,,,,,,,,,,,,,,,,,,,
ʄ,i,n,a,i,,,,,,,,,,,,,,,,,,,,,,,
h,a,ɾ,u,f,u,,,,,,,,,,,,,,,,,,,,,,
t,͡,ʃ,u,k,i,,,,,,,,,,,,,,,,,,,,,,
k,u,z,i,ɗ,i,ʃ,a,,,,,,,,,,,,,,,,,,,,
v,u,ɠ,u,v,u,ɠ,u,,,,,,,,,,,,,,,,,,,,
k,u,z,i,ɓ,a,,,,,,,,,,,,,,,,,,,,,,
k,i,n,z,a,,,,,,,,,,,,,,,,,,,,,,,
m,a,l,e,n,ɡ,e,l,e,n,ɡ,e,,,,,,,,,,,,,,,,
l,o,n,e,,,,,,,,,,,,,,,,,,,,,,,,
k,u,l,a,z,i,m,i,ʃ,a,,,,,,,,,,,,,,,,,,
k,u,k,w,e,p,a,,,,,,,,,,,,,,,,,,,,,
k,i,ɗ,u,n,i,a,,,,,,,,,,,,,,,,,,,,,
a,l,i,ʄ,i,u,z,u,l,u,,,,,,,,,,,,,,,,,,
p,i,ɠ,o,,,,,,,,,,,,,,,,,,,,,,,,
k,u,ʄ,i,t,e,n,ɡ,a,,,,,,,,,,,,,,,,,,,
k,u,h,a,ɾ,i,ɓ,i,w,a,,,,,,,,,,,,,,,,,,
a,ɗ,i,m,u,,,,,,,,,,,,,,,,,,,,,,,
u,s,u,m,b,u,f,u,,,,,,,,,,,,,,,,,,,,
u,k,a,t,i,l,i,,,,,,,,,,,,,,,,,,,,,
p,a,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,,,
m,a,t,͡,ʃ,a,f,u,,,,,,,,,,,,,,,,,,,,
t,͡,ʃ,a,t,͡,ʃ,u,,,,,,,,,,,,,,,,,,,,
p,ɾ,o,ɓ,l,e,m,s,,,,,,,,,,,,,,,,,,,,
k,u,t,͡,ʃ,o,m,w,a,,,,,,,,,,,,,,,,,,,
k,u,a,θ,i,ɾ,i,w,a,,,,,,,,,,,,,,,,,,,
ʄ,a,n,ɡ,a,,,,,,,,,,,,,,,,,,,,,,,
h,a,i,f,a,i,,,,,,,,,,,,,,,,,,,,,,
u,ɲ,o,ɠ,o,v,u,,,,,,,,,,,,,,,,,,,,,
k,i,ɓ,e,t,e,,,,,,,,,,,,,,,,,,,,,,
k,a,u,l,i,,,,,,,,,,,,,,,,,,,,,,,
w,a,f,u,,,,,,,,,,,,,,,,,,,,,,,,
u,k,i,u,k,a,ʄ,i,,,,,,,,,,,,,,,,,,,,
ɲ,o,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,,,
k,u,w,a,f,u,k,u,z,a,,,,,,,,,,,,,,,,,,
k,u,h,a,m,i,ʃ,w,a,,,,,,,,,,,,,,,,,,,
k,i,k,w,a,z,o,,,,,,,,,,,,,,,,,,,,,
ɲ,i,k,a,,,,,,,,,,,,,,,,,,,,,,,,
m,ʄ,a,n,e,,,,,,,,,,,,,,,,,,,,,,,
m,f,u,n,ɡ,w,a,,,,,,,,,,,,,,,,,,,,,
m,ɗ,u,ɗ,u,,,,,,,,,,,,,,,,,,,,,,,
k,u,v,u,ɾ,u,ɠ,a,,,,,,,,,,,,,,,,,,,,
k,u,t,o,f,a,u,t,i,a,n,a,,,,,,,,,,,,,,,,
k,u,i,ɓ,a,,,,,,,,,,,,,,,,,,,,,,,
v,i,t,i,ʃ,o,,,,,,,,,,,,,,,,,,,,,,
u,v,u,m,i,,,,,,,,,,,,,,,,,,,,,,,
t,a,s,a,,,,,,,,,,,,,,,,,,,,,,,,
m,a,t,͡,ʃ,a,f,u,k,o,,,,,,,,,,,,,,,,,,
j,a,t,i,m,a,,,,,,,,,,,,,,,,,,,,,,
v,i,ɓ,a,n,d,a,,,,,,,,,,,,,,,,,,,,,
u,w,o,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,,
ʃ,e,t,a,n,i,,,,,,,,,,,,,,,,,,,,,,
m,w,o,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,,
m,w,i,n,u,k,o,,,,,,,,,,,,,,,,,,,,,
k,u,t,a,p,i,k,a,,,,,,,,,,,,,,,,,,,,
k,u,m,w,a,ɠ,a,,,,,,,,,,,,,,,,,,,,,
k,u,m,a,l,i,z,i,k,a,,,,,,,,,,,,,,,,,,
ð,a,ɾ,a,u,,,,,,,,,,,,,,,,,,,,,,,
ɓ,a,a,,,,,,,,,,,,,,,,,,,,,,,,,
u,p,w,e,k,e,,,,,,,,,,,,,,,,,,,,,,
m,v,u,t,a,n,o,,,,,,,,,,,,,,,,,,,,,
k,u,k,i,ɾ,i,,,,,,,,,,,,,,,,,,,,,,
k,u,k,a,n,d,a,m,i,z,a,,,,,,,,,,,,,,,,,
u,n,e,x,p,e,c,t,e,ɗ,,,,,,,,,,,,,,,,,,
m,z,o,z,o,,,,,,,,,,,,,,,,,,,,,,,
m,i,z,i,n,ɡ,a,,,,,,,,,,,,,,,,,,,,,
m,a,l,a,l,a,m,i,k,o,,,,,,,,,,,,,,,,,,
k,u,u,m,w,a,,,,,,,,,,,,,,,,,,,,,,
k,i,m,e,l,e,a,,,,,,,,,,,,,,,,,,,,,
w,i,n,ɡ,u,,,,,,,,,,,,,,,,,,,,,,,
u,t,͡,ʃ,o,v,u,,,,,,,,,,,,,,,,,,,,,
p,o,l,e,,,,,,,,,,,,,,,,,,,,,,,,
m,t,u,m,w,a,,,,,,,,,,,,,,,,,,,,,,
k,u,t,e,n,ɡ,w,a,,,,,,,,,,,,,,,,,,,,
k,i,k,o,m,o,,,,,,,,,,,,,,,,,,,,,,
w,a,k,o,s,o,a,ʄ,i,,,,,,,,,,,,,,,,,,,
m,a,w,a,i,ð,a,,,,,,,,,,,,,,,,,,,,,
m,a,ʃ,i,t,a,k,a,,,,,,,,,,,,,,,,,,,,
k,u,t,u,p,w,a,,,,,,,,,,,,,,,,,,,,,
f,u,k,a,ɾ,a,,,,,,,,,,,,,,,,,,,,,,
k,u,v,u,n,ɟ,w,a,,,,,,,,,,,,,,,,,,,,
k,u,t,͡,ʃ,e,l,e,w,a,,,,,,,,,,,,,,,,,,
k,i,t,͡,ʃ,a,a,,,,,,,,,,,,,,,,,,,,,
u,t,o,v,u,,,,,,,,,,,,,,,,,,,,,,,
m,s,o,m,i,,,,,,,,,,,,,,,,,,,,,,,
k,i,m,a,k,o,s,a,,,,,,,,,,,,,,,,,,,,
c,o,l,l,a,p,s,e,,,,,,,,,,,,,,,,,,,,
u,ɲ,o,ɲ,a,ʄ,i,,,,,,,,,,,,,,,,,,,,,
u,ɲ,a,m,a,,,,,,,,,,,,,,,,,,,,,,,
u,l,i,p,u,n,ɡ,u,a,,,,,,,,,,,,,,,,,,,
u,ɠ,a,i,ɗ,i,,,,,,,,,,,,,,,,,,,,,,
s,u,f,u,ɾ,i,a,,,,,,,,,,,,,,,,,,,,,
p,e,p,o,,,,,,,,,,,,,,,,,,,,,,,,
o,ɲ,o,,,,,,,,,,,,,,,,,,,,,,,,,
m,z,a,h,a,,,,,,,,,,,,,,,,,,,,,,,
m,e,n,d,e,,,,,,,,,,,,,,,,,,,,,,,
m,a,ʄ,a,ɾ,i,ɓ,u,,,,,,,,,,,,,,,,,,,,
k,u,p,a,s,u,k,a,,,,,,,,,,,,,,,,,,,,
k,u,o,z,a,,,,,,,,,,,,,,,,,,,,,,,
k,u,m,z,u,i,a,,,,,,,,,,,,,,,,,,,,,
k,u,k,o,s,e,k,a,n,a,,,,,,,,,,,,,,,,,,
h,u,ɓ,a,ɗ,i,l,i,ʃ,a,,,,,,,,,,,,,,,,,,
w,a,k,a,l,i,,,,,,,,,,,,,,,,,,,,,,
u,s,a,h,a,,,,,,,,,,,,,,,,,,,,,,,
m,a,ʃ,a,k,a,,,,,,,,,,,,,,,,,,,,,,
l,i,m,a,o,,,,,,,,,,,,,,,,,,,,,,,
k,i,v,u,l,i,,,,,,,,,,,,,,,,,,,,,,
k,i,s,u,,,,,,,,,,,,,,,,,,,,,,,,
h,a,i,t,o,ʃ,i,,,,,,,,,,,,,,,,,,,,,
a,l,i,h,u,s,i,k,a,,,,,,,,,,,,,,,,,,,
w,a,l,e,m,a,v,u,,,,,,,,,,,,,,,,,,,,
u,p,e,l,e,,,,,,,,,,,,,,,,,,,,,,,
u,k,o,s,o,a,ʄ,i,,,,,,,,,,,,,,,,,,,,
u,k,a,n,d,a,m,i,z,a,ʄ,i,,,,,,,,,,,,,,,,
t,u,f,a,n,i,,,,,,,,,,,,,,,,,,,,,,
m,a,ɠ,a,m,b,a,,,,,,,,,,,,,,,,,,,,,
k,u,l,a,z,i,m,i,ʃ,w,a,,,,,,,,,,,,,,,,,
k,u,ʄ,i,i,n,ɡ,i,z,a,,,,,,,,,,,,,,,,,,
i,s,i,j,o,ʄ,u,l,i,k,a,n,a,,,,,,,,,,,,,,,
i,n,a,s,i,s,i,t,i,z,a,,,,,,,,,,,,,,,,,
w,o,ɠ,a,,,,,,,,,,,,,,,,,,,,,,,,
w,a,h,a,l,i,f,u,,,,,,,,,,,,,,,,,,,,
v,i,l,e,m,a,,,,,,,,,,,,,,,,,,,,,,
u,ʃ,i,ɾ,i,k,i,n,a,,,,,,,,,,,,,,,,,,,
u,ɲ,o,n,ɡ,e,,,,,,,,,,,,,,,,,,,,,,
u,a,n,ɡ,a,l,i,z,i,,,,,,,,,,,,,,,,,,,
m,l,e,v,i,,,,,,,,,,,,,,,,,,,,,,,
m,b,o,v,u,,,,,,,,,,,,,,,,,,,,,,,
k,u,h,a,t,a,ɾ,i,ʃ,a,,,,,,,,,,,,,,,,,,
k,u,f,u,k,u,z,a,,,,,,,,,,,,,,,,,,,,
k,i,w,e,w,e,,,,,,,,,,,,,,,,,,,,,,
k,i,ɲ,a,m,a,,,,,,,,,,,,,,,,,,,,,,
k,i,ɗ,o,n,d,a,,,,,,,,,,,,,,,,,,,,,
k,i,ɗ,i,k,t,e,t,a,,,,,,,,,,,,,,,,,,,
k,a,n,a,,,,,,,,,,,,,,,,,,,,,,,,
h,u,p,o,t,e,z,a,,,,,,,,,,,,,,,,,,,,
w,a,z,i,m,u,,,,,,,,,,,,,,,,,,,,,,
w,a,l,i,o,k,i,m,b,i,a,,,,,,,,,,,,,,,,,
w,a,l,i,k,o,s,a,,,,,,,,,,,,,,,,,,,,
u,o,v,u,,,,,,,,,,,,,,,,,,,,,,,,
u,a,ɗ,u,i,,,,,,,,,,,,,,,,,,,,,,,
ʃ,a,m,b,u,l,i,z,i,,,,,,,,,,,,,,,,,,,
p,a,l,e,p,a,l,e,,,,,,,,,,,,,,,,,,,,
m,a,a,f,a,,,,,,,,,,,,,,,,,,,,,,,
k,u,z,u,k,a,,,,,,,,,,,,,,,,,,,,,,
k,u,w,a,ʃ,a,,,,,,,,,,,,,,,,,,,,,,
k,u,ʄ,i,f,a,ɲ,a,,,,,,,,,,,,,,,,,,,,
k,i,l,i,o,,,,,,,,,,,,,,,,,,,,,,,
h,i,t,i,l,a,f,u,,,,,,,,,,,,,,,,,,,,
ɓ,a,j,a,,,,,,,,,,,,,,,,,,,,,,,,
j,a,n,a,t,o,f,a,u,t,i,a,n,a,,,,,,,,,,,,,,
w,a,ɓ,a,j,a,,,,,,,,,,,,,,,,,,,,,,
t,a,k,a,t,a,k,a,,,,,,,,,,,,,,,,,,,,
m,s,i,s,i,t,i,z,o,,,,,,,,,,,,,,,,,,,
m,a,t,a,t,a,,,,,,,,,,,,,,,,,,,,,,
m,a,ʄ,a,n,ɡ,a,,,,,,,,,,,,,,,,,,,,,
m,a,f,u,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,
k,u,ʄ,i,ɲ,i,m,a,,,,,,,,,,,,,,,,,,,,
k,u,t,͡,ʃ,a,n,ɡ,a,ɲ,i,k,i,w,a,,,,,,,,,,,,,
t,͡,ʃ,a,f,u,,,,,,,,,,,,,,,,,,,,,,
k,u,t,i,ʃ,i,a,,,,,,,,,,,,,,,,,,,,,
k,u,t,e,n,ɡ,a,n,a,,,,,,,,,,,,,,,,,,,
k,u,ɲ,i,m,w,a,,,,,,,,,,,,,,,,,,,,,
k,u,i,t,i,ʃ,a,,,,,,,,,,,,,,,,,,,,,
k,u,i,n,ɡ,i,l,i,w,a,,,,,,,,,,,,,,,,,,
k,u,t,͡,ʃ,e,m,ʃ,a,,,,,,,,,,,,,,,,,,,
h,a,z,i,p,a,t,i,k,a,n,i,,,,,,,,,,,,,,,,
ɗ,i,s,a,ɓ,l,e,ɗ,,,,,,,,,,,,,,,,,,,,
a,n,a,k,a,t,a,a,,,,,,,,,,,,,,,,,,,,
u,t,e,k,a,ʄ,i,,,,,,,,,,,,,,,,,,,,,
n,a,o,m,b,a,,,,,,,,,,,,,,,,,,,,,,
k,u,v,u,ʄ,a,,,,,,,,,,,,,,,,,,,,,,
k,u,h,a,ɾ,a,k,i,ʃ,a,,,,,,,,,,,,,,,,,,
z,i,s,i,z,o,k,u,w,a,,,,,,,,,,,,,,,,,,
w,a,l,i,p,o,,,,,,,,,,,,,,,,,,,,,,
u,ɲ,a,ɲ,a,s,a,ʄ,i,,,,,,,,,,,,,,,,,,,
u,ɓ,a,k,a,ʄ,i,,,,,,,,,,,,,,,,,,,,,
t,a,h,a,ð,a,ɾ,i,,,,,,,,,,,,,,,,,,,,
t,a,a,ɓ,u,,,,,,,,,,,,,,,,,,,,,,,
m,s,u,ɠ,u,a,n,o,,,,,,,,,,,,,,,,,,,,
m,t,͡,ʃ,u,z,i,,,,,,,,,,,,,,,,,,,,,
m,a,ɠ,o,f,u,,,,,,,,,,,,,,,,,,,,,,
k,u,t,u,,,,,,,,,,,,,,,,,,,,,,,,
k,u,t,o,f,a,u,t,i,ʃ,w,a,,,,,,,,,,,,,,,,
k,u,t,e,s,e,k,a,,,,,,,,,,,,,,,,,,,,
k,u,s,a,ɠ,w,a,,,,,,,,,,,,,,,,,,,,,
k,u,k,o,s,o,a,,,,,,,,,,,,,,,,,,,,,
k,u,ʄ,i,h,a,m,i,,,,,,,,,,,,,,,,,,,,
k,u,t,͡,ʃ,o,k,a,,,,,,,,,,,,,,,,,,,,
h,o,n,ɡ,o,,,,,,,,,,,,,,,,,,,,,,,
h,i,l,a,,,,,,,,,,,,,,,,,,,,,,,,
ɗ,o,a,,,,,,,,,,,,,,,,,,,,,,,,,
a,n,ɡ,u,k,o,,,,,,,,,,,,,,,,,,,,,,
u,s,u,ɠ,u,,,,,,,,,,,,,,,,,,,,,,,
t,u,h,u,m,a,,,,,,,,,,,,,,,,,,,,,,
m,ɠ,o,m,o,,,,,,,,,,,,,,,,,,,,,,,
