"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"d","e","<U+027E>","i","n","d","e","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","v","u","n","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","e","n","n","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","y","<U+027E>","y","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","e","j","e","d<U+0361><U+0292>","a","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+027E>","<U+0283>","<U+026F>","l","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","a","<U+0270>","l","<U+026F>","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","a","k","<U+026F>","n","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","<U+0283>","<U+026F>","n","a","b","i","l","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","n","d","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","n","<U+026F>","t","s","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","u","s","u","<U+027E>","s","u","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","v","o","<U+027E>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+026F>","s","<U+026F>","n","m","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","y","z","e","l","t","m","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","l","g","u","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","u","<U+027E>","u","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","u","t","a","<U+027E>","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","j","g","u","l","a","n","a","b","i","l","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","j","d","<U+026F>","n","l","a","t","m","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","<U+026F>","n","<U+026F>","<U+027E>","s","<U+026F>","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","l","a","<U+0283>","<U+026F>","l","<U+026F>","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","m","i","m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","<U+027E>","u","t<U+0361><U+0283>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","œ","s","t","e","<U+027E>","i","<U+0283>","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","f","o","<U+027E>","m","l","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","k","<U+026F>","d<U+0361><U+0292>","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","l","e","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","e","n","i","l","e","m","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","u","t","l","u","l","u","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","l","a","j","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","e","n","g","i","n","l","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","f","e","n","d","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","u","t","u","d<U+0361><U+0292>","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","<U+0270>","l","u","b","i","j","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","o","<U+027E>","u","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","t","e","g","<U+027E>","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","œ","h","<U+027E>","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361><U+0283>","a","<U+027E>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","j","i","l","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","s","t","i","k","<U+027E>","a","<U+027E>","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361><U+0283>","a","l","<U+026F>","<U+0283>","k","a","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","z","a","m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","z","l","a","<U+0283>","m","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","j","d","<U+026F>","n","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","y","j","y","k","l","y","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","a","j","<U+027E>","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","n","g","e","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+027E>","t","<U+026F>","<U+027E>","<U+026F>","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","a","p","<U+026F>","d<U+0361><U+0292>","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","t","i","b","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","k","u","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","l","a","j","l","a","<U+0283>","t","<U+026F>","<U+027E>","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA
"f","<U+027E>","e","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"œ","v","g","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","a","p","<U+026F>","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","a","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","e","<U+027E>","e","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","e","<U+0283>","e","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","k","u","l","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","m","a","m","l","a","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","l","a","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","n","o","<U+027E>","a","m","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","u","t","l","a","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","y","p","h","e","s","i","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"œ","z","e","n","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","i","l","g","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","s","a","<U+027E>","<U+027E>","u","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","<U+027E>","i","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w","o","<U+027E>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","y","t<U+0361><U+0283>","l","e","n","d","i","<U+027E>","m","e","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","i","i","<U+027E>","s","e","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","y","z","e","l","t","m","e","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","a","s","j","o","n","e","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","n","l","a","<U+0283>","<U+026F>","l","a","b","i","l","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"w","e","l","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","l","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","y","j","y","l","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","u","j","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","n","<U+027E>","<U+026F>","s","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","o","n","u","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","h","b","e","<U+027E>","l","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","h","<U+027E>","a","m","a","n","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","e","t","k","i","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","<U+027E>","a","f","s","<U+026F>","z","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","e","t","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","<U+027E>","v","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","o","<U+0270>","<U+027E>","u","l","u","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","z","e","<U+027E>","s","i","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"y","<U+027E>","e","t","k","e","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","a","k","<U+026F>","<U+0283>","<U+026F>","k","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","u","<U+0283>","k","u","s","u","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","y","<U+0283>","k","y","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","j","g","<U+026F>","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","i","k","s","i","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","m","a","m","l","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","n","t","e","z","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a","j","<U+027E>","a","n","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","œ","k","j","y","z","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","z","a","n","a","n","l","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","y","h","i","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","o","p","e","<U+027E>","a","t","i","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","u","t","l","a","m","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","j","i","l","e","<U+0283>","t","i","<U+027E>","m","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","z","i","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","<U+0270>","i","<U+0283>","t","i","<U+027E>","i","l","e","b","i","l","i","<U+027E>",NA,NA,NA,NA,NA,NA
"j","e","n","i","l","e","n","m","i","<U+0283>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","d","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","a","<U+027E>","a","<U+027E>","l","a","n","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+027E>","<U+0283>","<U+026F>","l","a","m","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","<U+027E>","e","k","e","t","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","e","b","<U+027E>","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","<U+027E>","l","a","k","l","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","z","a","h","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","s","t","a","l","a","<U+027E>","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","y","<U+0283>","y","n","m","e","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","i","l","g","i","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","y","<U+027E>","e","k","l","i","l","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","b","e","d","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","a","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+027E>","<U+026F>","t","m","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","m","a","m","l","a","j","<U+026F>","d<U+0361><U+0292>","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","<U+026F>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","e","f","f","a","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","y","<U+027E>","m","e","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","v","i","m","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","n","a","j","l","a","d","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","e","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","o","<U+0283>","k","u","l","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","i","<U+0270>","i","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","<U+0270>","e","<U+027E>","l","e","n","d","i","<U+027E>","e","n",NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","o","<U+027E>","t<U+0361><U+0283>","l","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","z","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","v","i","n","t<U+0361><U+0283>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","i","<U+027E>","i","<U+0283>","i","m","d<U+0361><U+0292>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","a","z","i","p",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","d<U+0361><U+0292>","e","<U+027E>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","i","t","i","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","y","d<U+0361><U+0292>","e","v","h","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w","e","l","d<U+0361><U+0292>","o","m","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","j","<U+027E>","<U+026F>","d<U+0361><U+0292>","a","l","<U+026F>","k","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","s","t","i","k","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","s","t","a","d<U+0361><U+0292>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","s","a","f","i","<U+027E>","p","e","<U+027E>","v","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a","j","<U+026F>","<U+027E>","s","e","v","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","e","k","â",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","j","a","<U+027E>","<U+026F>","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","o","<U+0283>","g","œ","<U+027E>","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a","j","<U+026F>","<U+027E>","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","v","a","n","t","a","<U+0292>","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","p","o","<U+027E>","t","a","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","u","z","u","<U+027E>","l","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"œ","n","e","<U+027E>","i","l","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361><U+0283>","<U+026F>","k","<U+026F>","n","t","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+027E>","i","<U+0283>","k","i","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","d","a","v","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","s","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","<U+0283>","k","<U+026F>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","t<U+0361><U+0283>","s","u","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","k","s","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","j","i","l","e","<U+0283>","m","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e","l","i","<U+0283>","t","i","<U+027E>","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","u","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","<U+027E>","a","s","<U+026F>","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","i","d<U+0361><U+0292>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","u","<U+027E>","u","<U+0283>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","d","a","k","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","i","b","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","<U+026F>","<U+027E>","s","l","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d<U+0361><U+0292>","i","l","e","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","<U+027E>","h","a","m","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","h","t","i","j","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","<U+027E>","e","n","t<U+0361><U+0283>","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","<U+027E>","<U+027E>","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","v","a","n","t","a","<U+0292>","l","a","<U+027E>","<U+026F>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","<U+027E>","t","<U+026F>","<U+0283>","m","a","s","<U+026F>","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","s","t","<U+027E>","y","m","a","n","t","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","s","t","e","k","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","œ","<U+027E>","g","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","s","t","a","l","<U+026F>","k","l","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","l","h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361><U+0283>","e","v","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","a","k","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","t","e","k","l","e","j","i","d<U+0361><U+0292>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","a","p","<U+026F>","<U+0283>","k","a","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","a","h","h","y","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","s","t","e","j","e","<U+027E>","e","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","z","z","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","a","z","i","b","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","v","a","i","l","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361><U+0283>","a","l","<U+026F>","<U+0283>","t","<U+026F>","<U+027E>","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","o","o","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+0283>","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+027E>","m","o","n","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","e","<U+027E>","o","d","i","n","a","m","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","n","e","k","l","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+027E>","g","i","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","i","l","g","e","l","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","l","a","j","l","a","<U+0283>","t","<U+026F>","<U+027E>","<U+026F>","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","s","a","b","e","t","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","e","<U+027E>","<U+0292>","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
