0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
m,u,ː,a,ː,f,q,ة,,,,,,,,,,,,,,,,,,,
t,ʔ,a,m,i,ː,n,,,,,,,,,,,,,,,,,,,,
m,s,ˤ,l,ħ,ة,,,,,,,,,,,,,,,,,,,,,
m,i,ː,z,ة,,,,,,,,,,,,,,,,,,,,,,
m,ʃ,h,u,ː,r,,,,,,,,,,,,,,,,,,,,,
d,ˤ,m,a,ː,n,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,ð,b,,,,,,,,,,,,,,,,,,,,,,
n,d,͡,ʒ,ħ,t,,,,,,,,,,,,,,,,,,,,,
i,ː,θ,b,t,,,,,,,,,,,,,,,,,,,,,,
ʕ,z,i,ː,z,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,ħ,i,ː,a,ː,ء,,,,,,,,,,,,,,,,,,,
m,n,a,ː,s,b,,,,,,,,,,,,,,,,,,,,,
f,a,ː,i,ː,ٔ,d,ة,,,,,,,,,,,,,,,,,,,
a,n,t,s,ˤ,a,ː,r,,,,,,,,,,,,,,,,,,,
b,a,ː,r,z,,,,,,,,,,,,,,,,,,,,,,
a,l,f,a,ː,i,ː,ٔ,z,,,,,,,,,,,,,,,,,,
b,u,ː,d,ˤ,u,ː,ħ,,,,,,,,,,,,,,,,,,,
a,ٔ,ħ,b,,,,,,,,,,,,,,,,,,,,,,,
a,l,f,d,͡,ʒ,r,,,,,,,,,,,,,,,,,,,,
ʃ,a,ː,i,ː,ٔ,ʕ,,,,,,,,,,,,,,,,,,,,
t,u,ː,d,ˤ,i,ː,ħ,,,,,,,,,,,,,,,,,,,
ħ,q,i,ː,q,i,ː,,,,,,,,,,,,,,,,,,,,
s,ˤ,a,ː,d,q,,,,,,,,,,,,,,,,,,,,,
b,q,a,ː,ء,,,,,,,,,,,,,,,,,,,,,,
m,a,ː,d,͡,ʒ,s,t,i,ː,r,,,,,,,,,,,,,,,,
t,ʃ,d,͡,ʒ,i,ː,ʕ,,,,,,,,,,,,,,,,,,,
i,ː,d,ʕ,m,,,,,,,,,,,,,,,,,,,,,,
z,a,ː,i,ː,d,,,,,,,,,,,,,,,,,,,,,
a,q,t,s,ˤ,a,ː,d,i,ː,,,,,,,,,,,,,,,,,
b,r,k,ة,,,,,,,,,,,,,,,,,,,,,,,
ħ,r,,,,,,,,,,,,,,,,,,,,,,,,,
f,d,͡,ʒ,r,,,,,,,,,,,,,,,,,,,,,,
ʃ,a,ː,k,r,,,,,,,,,,,,,,,,,,,,,,
m,s,ħ,,,,,,,,,,,,,,,,,,,,,,,,
t,θ,b,t,,,,,,,,,,,,,,,,,,,,,,,
s,i,ː,a,ː,d,ة,,,,,,,,,,,,,,,,,,,,
f,x,r,,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,q,r,a,ː,r,,,,,,,,,,,,,,,,,,,
r,a,ː,i,ː,ٔ,ʕ,,,,,,,,,,,,,,,,,,,,
s,a,ː,r,,,,,,,,,,,,,,,,,,,,,,,
ħ,i,ː,u,ː,i,ː,ة,,,,,,,,,,,,,,,,,,,
a,ٕ,n,d,͡,ʒ,a,ː,z,,,,,,,,,,,,,,,,,,
ʕ,d,l,,,,,,,,,,,,,,,,,,,,,,,,
ʃ,ʕ,b,i,ː,,,,,,,,,,,,,,,,,,,,,,
a,ħ,t,r,a,ː,m,,,,,,,,,,,,,,,,,,,,
s,h,u,ː,l,ة,,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,i,s,ˤ,l,a,ː,ħ,a,ː,t,,,,,,,,,,,,,,
n,b,i,ː,l,,,,,,,,,,,,,,,,,,,,,,
k,r,m,,,,,,,,,,,,,,,,,,,,,,,,
n,x,b,ة,,,,,,,,,,,,,,,,,,,,,,,
a,ٓ,m,n,,,,,,,,,,,,,,,,,,,,,,,
m,m,i,ː,z,,,,,,,,,,,,,,,,,,,,,,
a,r,t,f,ʕ,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,θ,a,ː,r,ة,,,,,,,,,,,,,,,,,,,,
m,n,ħ,t,,,,,,,,,,,,,,,,,,,,,,,
ɣ,n,ى,,,,,,,,,,,,,,,,,,,,,,,,
a,l,r,a,ː,i,ː,ٔ,d,,,,,,,,,,,,,,,,,,
m,s,ˤ,a,ː,l,ħ,,,,,,,,,,,,,,,,,,,,
m,s,k,n,,,,,,,,,,,,,,,,,,,,,,,
q,a,ː,n,u,ː,n,i,ː,,,,,,,,,,,,,,,,,,
d,͡,ʒ,u,ː,a,ː,d,,,,,,,,,,,,,,,,,,,
t,s,ˤ,ħ,i,ː,ħ,,,,,,,,,,,,,,,,,,,,
u,ː,ʕ,d,,,,,,,,,,,,,,,,,,,,,,,
m,s,ˤ,m,m,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,i,ː,d,a,ː,ً,,,,,,,,,,,,,,,,,,
k,s,b,,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,s,ʕ,d,,,,,,,,,,,,,,,,,,,,,,
s,i,ː,t,ˤ,r,,,,,,,,,,,,,,,,,,,,,
t,m,a,ː,m,,,,,,,,,,,,,,,,,,,,,,
a,x,t,r,a,ː,q,,,,,,,,,,,,,,,,,,,,
t,u,ː,a,ː,f,q,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,a,ː,d,l,,,,,,,,,,,,,,,,,,,,
m,ʕ,t,d,l,,,,,,,,,,,,,,,,,,,,,,
a,l,s,u,ː,b,r,,,,,,,,,,,,,,,,,,,,
u,ː,ħ,i,ː,,,,,,,,,,,,,,,,,,,,,,
i,ː,n,d,͡,ʒ,ħ,,,,,,,,,,,,,,,,,,,,
n,a,ː,f,ʕ,,,,,,,,,,,,,,,,,,,,,,
t,ˤ,i,ː,b,,,,,,,,,,,,,,,,,,,,,,
θ,r,u,ː,ة,,,,,,,,,,,,,,,,,,,,,,
t,ʔ,a,k,i,ː,d,,,,,,,,,,,,,,,,,,,,
h,a,ː,i,ː,ٔ,l,,,,,,,,,,,,,,,,,,,,
b,a,ː,l,d,ˤ,b,t,ˤ,,,,,,,,,,,,,,,,,,
m,i,ː,θ,a,ː,q,,,,,,,,,,,,,,,,,,,,
ʕ,m,i,ː,q,,,,,,,,,,,,,,,,,,,,,,
n,h,d,ˤ,ة,,,,,,,,,,,,,,,,,,,,,,
a,l,m,ħ,m,u,ː,l,,,,,,,,,,,,,,,,,,,
h,a,ː,d,i,ː,,,,,,,,,,,,,,,,,,,,,
t,ɣ,l,b,,,,,,,,,,,,,,,,,,,,,,,
a,l,r,d,ˤ,a,ː,,,,,,,,,,,,,,,,,,,,
a,l,t,k,a,ː,m,l,,,,,,,,,,,,,,,,,,,
m,l,k,i,ː,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,d,d,,,,,,,,,,,,,,,,,,,,,,
t,ʃ,k,i,ː,l,ة,,,,,,,,,,,,,,,,,,,,
ħ,l,m,,,,,,,,,,,,,,,,,,,,,,,,
t,ħ,s,n,,,,,,,,,,,,,,,,,,,,,,,
h,u,ː,a,ː,ء,,,,,,,,,,,,,,,,,,,,,
f,a,ː,d,ˤ,l,,,,,,,,,,,,,,,,,,,,,
t,x,f,i,ː,f,,,,,,,,,,,,,,,,,,,,,
m,d,,,,,,,,,,,,,,,,,,,,,,,,,
m,m,t,a,ː,z,,,,,,,,,,,,,,,,,,,,,
m,r,a,ː,ʕ,a,ː,ة,,,,,,,,,,,,,,,,,,,
ð,r,u,ː,ة,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,ħ,i,ː,,,,,,,,,,,,,,,,,,,,,,
n,a,ː,d,͡,ʒ,i,ː,,,,,,,,,,,,,,,,,,,
f,r,d,i,ː,ة,,,,,,,,,,,,,,,,,,,,,
k,a,ː,f,,,,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,m,θ,l,,,,,,,,,,,,,,,,,,,,
a,l,f,u,ː,a,ː,i,ː,ٔ,d,,,,,,,,,,,,,,,,
ʕ,z,m,,,,,,,,,,,,,,,,,,,,,,,,
m,z,a,ː,i,ː,a,ː,,,,,,,,,,,,,,,,,,,
u,ː,a,ː,ħ,ة,,,,,,,,,,,,,,,,,,,,,
t,f,t,ħ,,,,,,,,,,,,,,,,,,,,,,,
a,l,m,θ,a,ː,l,i,ː,ة,,,,,,,,,,,,,,,,,
l,i,ː,n,,,,,,,,,,,,,,,,,,,,,,,
ħ,k,i,ː,m,,,,,,,,,,,,,,,,,,,,,,
a,l,ħ,r,i,ː,a,ː,t,,,,,,,,,,,,,,,,,,
m,s,ˤ,i,ː,r,,,,,,,,,,,,,,,,,,,,,
m,f,i,ː,d,,,,,,,,,,,,,,,,,,,,,,
ɣ,n,i,ː,,,,,,,,,,,,,,,,,,,,,,,
n,ʃ,t,ˤ,,,,,,,,,,,,,,,,,,,,,,,
q,i,ː,a,ː,d,a,ː,t,,,,,,,,,,,,,,,,,,
i,ː,f,u,ː,z,,,,,,,,,,,,,,,,,,,,,
a,l,m,s,t,d,a,ː,m,ة,,,,,,,,,,,,,,,,,
a,ٔ,s,h,l,,,,,,,,,,,,,,,,,,,,,,
