358,m,aː,h,r,,,,,,,,,,,,,,,,,,
359,ʕ,tˤ,aː,ء,,,,,,,,,,,,,,,,,,
360,a,s,t,ʕ,d,aː,d,,,,,,,,,,,,,,,
361,a,ٔ,b,s,tˤ,,,,,,,,,,,,,,,,,
362,a,k,t,s,b,t,,,,,,,,,,,,,,,,
363,q,m,m,,,,,,,,,,,,,,,,,,,
364,a,ٕ,iː,m,aː,n,,,,,,,,,,,,,,,,
365,a,ħ,t,f,aː,l,,,,,,,,,,,,,,,,
366,d,aː,f,ʕ,,,,,,,,,,,,,,,,,,
367,b,r,,,,,,,,,,,,,,,,,,,,
368,b,r,q,ة,,,,,,,,,,,,,,,,,,
369,m,t,k,aː,m,l,,,,,,,,,,,,,,,,
370,ʕ,m,l,iː,,,,,,,,,,,,,,,,,,
371,ʕ,ðˤ,m,ة,,,,,,,,,,,,,,,,,,
372,f,uː,r,aː,,,,,,,,,,,,,,,,,,
373,a,l,t,ʔ,a,h,l,,,,,,,,,,,,,,,
374,ħ,q,n,,,,,,,,,,,,,,,,,,,
375,sˤ,d,aː,q,ة,,,,,,,,,,,,,,,,,
376,a,l,m,θ,aː,l,iː,,,,,,,,,,,,,,,
377,s,ʕ,aː,d,ة,,,,,,,,,,,,,,,,,
378,q,d,s,,,,,,,,,,,,,,,,,,,
379,a,ħ,iː,aː,ء,,,,,,,,,,,,,,,,,
380,m,q,b,uː,l,,,,,,,,,,,,,,,,,
381,ʕ,ðˤ,m,,,,,,,,,,,,,,,,,,,
382,t,ɣ,ð,iː,ة,,,,,,,,,,,,,,,,,
383,ʃ,h,iː,r,,,,,,,,,,,,,,,,,,
384,a,l,ʔ,i,n,d͡ʒ,aː,z,aː,t,,,,,,,,,,,,
385,ħ,aː,z,m,,,,,,,,,,,,,,,,,,
386,ʃ,r,ʕ,iː,,,,,,,,,,,,,,,,,,
387,t,uː,d͡ʒ,,,,,,,,,,,,,,,,,,,
388,m,uː,h,b,ة,,,,,,,,,,,,,,,,,
389,m,l,aː,k,,,,,,,,,,,,,,,,,,
390,m,h,aː,r,ة,,,,,,,,,,,,,,,,,
391,ʃ,k,r,,,,,,,,,,,,,,,,,,,
392,b,r,uː,z,,,,,,,,,,,,,,,,,,
393,r,f,iː,ʕ,,,,,,,,,,,,,,,,,,
394,m,s,t,q,r,,,,,,,,,,,,,,,,,
395,a,b,t,k,aː,r,,,,,,,,,,,,,,,,
396,f,r,ħ,,,,,,,,,,,,,,,,,,,
397,m,ʃ,r,f,,,,,,,,,,,,,,,,,,
398,θ,uː,r,,,,,,,,,,,,,,,,,,,
399,a,n,f,sˤ,aː,l,,,,,,,,,,,,,,,,
400,a,l,sˤ,aː,f,iː,,,,,,,,,,,,,,,,
401,a,l,t,f,uː,q,,,,,,,,,,,,,,,,
402,t,f,dˤ,l,,,,,,,,,,,,,,,,,,
403,m,iː,m,uː,n,,,,,,,,,,,,,,,,,
404,m,ʕ,aː,sˤ,r,,,,,,,,,,,,,,,,,
405,t,ʔ,a,iː,iː,d,,,,,,,,,,,,,,,,
406,a,l,d,uː,aː,m,,,,,,,,,,,,,,,,
407,t,s,t,ħ,q,,,,,,,,,,,,,,,,,
408,n,aː,d͡ʒ,ħ,,,,,,,,,,,,,,,,,,
409,r,aː,ħ,ة,,,,,,,,,,,,,,,,,,
410,b,ʕ,n,aː,iː,ة,,,,,,,,,,,,,,,,
411,a,s,t,f,aː,d,,,,,,,,,,,,,,,,
412,uː,dˤ,uː,ħ,,,,,,,,,,,,,,,,,,
413,uː,f,r,ة,,,,,,,,,,,,,,,,,,
414,a,ٕ,ʕ,d͡ʒ,aː,b,,,,,,,,,,,,,,,,
415,m,d,ħ,,,,,,,,,,,,,,,,,,,
416,a,s,t,ɣ,r,q,,,,,,,,,,,,,,,,
417,a,ٔ,sˤ,ʕ,b,,,,,,,,,,,,,,,,,
418,r,b,ħ,,,,,,,,,,,,,,,,,,,
419,a,l,t,z,aː,m,,,,,,,,,,,,,,,,
420,a,l,b,aː,r,z,,,,,,,,,,,,,,,,
421,x,t,m,,,,,,,,,,,,,,,,,,,
422,a,l,aː,ħ,t,r,aː,m,,,,,,,,,,,,,,
423,ħ,b,iː,b,iː,,,,,,,,,,,,,,,,,
424,a,ٔ,q,r,,,,,,,,,,,,,,,,,,
425,m,d͡ʒ,aː,n,iː,,,,,,,,,,,,,,,,,
426,d,ʕ,aː,ة,,,,,,,,,,,,,,,,,,
427,iː,ħ,s,n,,,,,,,,,,,,,,,,,,
428,m,θ,iː,r,,,,,,,,,,,,,,,,,,
429,a,ٕ,ʃ,ʕ,aː,ʕ,,,,,,,,,,,,,,,,
430,r,ħ,m,,,,,,,,,,,,,,,,,,,
431,d͡ʒ,l,aː,l,ة,,,,,,,,,,,,,,,,,
432,t,t,f,q,,,,,,,,,,,,,,,,,,
433,s,ħ,r,,,,,,,,,,,,,,,,,,,
